Season,Age,Team,Lg,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards
1983,22,MIA,NFL,QB,11,9,107,120,123,131,106,127,129,129,125,"PB,AP-2,AP MVP-3,AP OPoY-3,AP ORoY-2"
1984,23,MIA,NFL,QB,16,16,140,153,141,150,127,148,115,135,141,"PB,AP-1,AP MVP-1,AP OPoY-1"
1985,24,MIA,NFL,QB,16,16,105,118,109,117,113,113,105,131,113,"PB,AP-1"
1986,25,MIA,NFL,QB,16,16,114,129,118,128,121,132,105,130,124,"PB,AP-1,AP MVP-3,AP OPoY-2"
1987,26,MIA,NFL,QB,12,12,107,122,115,125,114,118,114,133,119,PB
1988,27,MIA,NFL,QB,16,16,107,125,106,118,111,105,101,139,108,AP OPoY-4
1989,28,MIA,NFL,QB,16,16,105,119,103,112,102,104,97,135,102,
1990,29,MIA,NFL,QB,16,16,93,107,106,113,105,100,122,127,109,
1991,30,MIA,NFL,QB,16,16,107,112,114,117,103,108,119,116,113,PB
1992,31,MIA,NFL,QB,16,16,112,116,114,117,106,108,109,114,112,PB
1993,32,MIA,NFL,QB,5,5,126,130,131,133,108,121,121,115,125,
1994,33,MIA,NFL,QB,16,16,110,119,112,118,114,113,106,123,115,"PB,AP-2"
1995,34,MIA,NFL,QB,14,14,122,124,117,119,120,114,101,112,118,"PB,AP-2"
1996,35,MIA,NFL,QB,13,13,119,123,119,122,107,108,112,113,115,
1997,36,MIA,NFL,QB,16,16,103,112,106,111,105,89,117,121,104,
1998,37,MIA,NFL,QB,16,16,95,102,100,104,104,103,106,118,103,
1999,38,MIA,NFL,QB,11,11,98,107,90,96,92,92,82,127,88,
17 Yrs,,242,240,109,120,112,119,110,112,109,125,113,,,,
