Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34
,Rushing,Receiving,Scrimmage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1992,23,GNB,NFL,QB,15,13,47,198,1,,,19,4.2,13.2,3.1,1,1,-7,-7.0,0,,,-7,0.1,-0.5,100.0,-7.0,48,4.0,191,1,12,PB
1993,24,GNB,NFL,QB,16,16,58,216,1,,,27,3.7,13.5,3.6,0,0,0,,0,,,,0.0,0.0,,,58,3.7,216,1,14,PB
1994,25,GNB,NFL,QB,16,16,42,202,2,16,35.7,36,4.8,12.6,2.6,0,0,0,,0,0,,,0.0,0.0,,,42,4.8,202,2,7,
1995,26,GNB,NFL,QB,16,16,39,181,3,17,51.3,40,4.6,11.3,2.4,0,0,0,,0,0,,,0.0,0.0,,,39,4.6,181,3,8,"PB,AP-1,AP MVP-1,AP OPoY-1"
1996,27,GNB,NFL,QB,16,16,49,136,2,19,46.9,23,2.8,8.5,3.1,0,0,0,,0,0,,,0.0,0.0,,,49,2.8,136,2,11,"PB,AP-1,AP MVP-1,AP OPoY-2"
1997,28,GNB,NFL,QB,16,16,58,187,1,17,37.9,16,3.2,11.7,3.6,0,0,0,,0,0,,,0.0,0.0,,,58,3.2,187,1,7,"PB,AP-1,AP MVP-1,AP OPoY-3"
1998,29,GNB,NFL,QB,16,16,40,133,1,13,37.5,35,3.3,8.3,2.5,0,0,0,,0,0,,,0.0,0.0,,,40,3.3,133,1,8,
1999,30,GNB,NFL,QB,16,16,28,142,0,13,53.6,20,5.1,8.9,1.8,0,0,0,,0,0,,,0.0,0.0,,,28,5.1,142,0,9,
2000,31,GNB,NFL,QB,16,16,27,108,0,7,40.7,18,4.0,6.8,1.7,0,0,0,,0,0,,,0.0,0.0,,,27,4.0,108,0,9,
2001,32,GNB,NFL,QB,16,16,38,56,1,6,21.1,14,1.5,3.5,2.4,0,0,0,,0,0,,,0.0,0.0,,,38,1.5,56,1,16,"PB,AP-2,AP MVP-3,AP OPoY-3"
2002,33,GNB,NFL,QB,16,16,25,73,0,6,28.0,17,2.9,4.6,1.6,0,0,0,,0,0,,,0.0,0.0,,,25,2.9,73,0,10,"PB,AP-2,AP MVP-2"
2003,34,GNB,NFL,QB,16,16,18,15,0,3,16.7,7,0.8,0.9,1.1,0,0,0,,0,0,,,0.0,0.0,,,18,0.8,15,0,5,PB
2004,35,GNB,NFL,QB,16,16,16,36,0,2,18.8,17,2.3,2.3,1.0,0,0,0,,0,0,,,0.0,0.0,,,16,2.3,36,0,4,
2005,36,GNB,NFL,QB,16,16,18,62,0,4,27.8,20,3.4,3.9,1.1,0,0,0,,0,0,,,0.0,0.0,,,18,3.4,62,0,10,
2006,37,GNB,NFL,QB,16,16,23,29,1,4,21.7,14,1.3,1.8,1.4,0,0,0,,0,0,,,0.0,0.0,,,23,1.3,29,1,8,
2007,38,GNB,NFL,QB,16,16,29,12,0,4,13.8,21,0.4,0.8,1.8,0,0,0,,0,0,,,0.0,0.0,,,29,0.4,12,0,9,"PB,AP-2,AP MVP-2,AP OPoY-3,AP CPoY-4"
2008,39,NYJ,NFL,QB,16,16,21,43,1,4,19.0,27,2.0,2.7,1.3,0,0,2,,0,0,,2,0.0,0.1,,,21,2.1,45,1,10,PB
2009,40,MIN,NFL,QB,16,16,9,7,0,1,11.1,4,0.8,0.4,0.6,1,1,-2,-2.0,0,0,0.0,-2,0.1,-0.1,100.0,-2.0,10,0.5,5,0,2,"PB,AP MVP-4,AP CPoY-4"
2010,41,MIN,NFL,QB,13,13,17,8,0,1,5.9,10,0.5,0.6,1.3,0,0,0,,0,0,,,0.0,0.0,,,17,0.5,8,0,7,
20 Yrs,,302,298,602,1844,14,137,32.6,40,3.1,6.1,2.0,2,2,-7,-3.5,0,0,0.0,2,0.0,0.0,100.0,-3.5,604,3.0,1837,14,166,,,,
17 Game Avg,,17,17,34,104,1,,,40,3.1,6.1,2.0,,0,0,-3.5,0,,,2,0.0,0.0,,,34,0.2,103,1,9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNB (16 Yrs),,255,253,555,1786,13,131,34.7,40,3.2,7.0,2.2,1,1,-7,-7.0,0,0,,-7,0.0,0.0,100.0,-7.0,556,3.2,1779,13,147,,,,
MIN (2 Yrs),,29,29,26,15,0,2,7.7,10,0.6,0.5,0.9,1,1,-2,-2.0,0,0,0.0,-2,0.0,-0.1,100.0,-2.0,27,0.5,13,0,9,,,,
NYJ (1 Yr),,16,16,21,43,1,4,19.0,27,2.0,2.7,1.3,0,0,2,,0,0,,2,0.0,0.1,,,21,2.1,45,1,10,,,,
ATL (1 Yr),,2,0,0,0,0,,,,,0.0,0.0,,0,0,,0,,,,0.0,0.0,,,0,,0,0,0,,,,
